id;name;package_name;design_name;color_code;color_name;use_package_description;package_description;display_recommend_package;package_thumbnail_url;price;quantity;status;option_code;activated;created_by;created_date;last_modified_by;last_modified_date
1;synthesizing;Algeria 충북;Shoes;initiative;Frozen Grocery;false;../fake-data/blob/hipster.txt;false;hacking RAM deliver;Toys 인천 recontextualize;55776;calculate;Steel Unbranded Tuna;false;Chicken;2021-07-25T06:36:14;metrics parsing 경북;2021-07-24T13:01:04
2;Fantastic Shirt algorithm;magnetic mobile;Automated;indexing Peso Danish;lavender violet;false;../fake-data/blob/hipster.txt;false;Peso front-end reserved;Kids;62751;Sleek content matrix;Jewelery withdrawal;false;동 Tactics EXE;2021-07-25T06:21:36;Distributed state;2021-07-24T21:39:54
3;읍;quantifying 경북 Account;Fresh local Aruban;experiences backing;Kids circuit overriding;true;../fake-data/blob/hipster.txt;true;cross-platform hacking payment;Incredible Small mint;97114;읍 Account;moderator Cambridgeshire;false;help-desk Bacon;2021-07-24T21:33:17;Bedfordshire solution-oriented;2021-07-24T15:09:24
4;Optimization auxiliary platforms;value-added;울산 Accountability port;Customer Dollar Fantastic;Account Checking;false;../fake-data/blob/hipster.txt;true;Shoes hack;HTTP primary benchmark;74104;Netherlands Toys;Movies XSS open-source;false;contextually-based;2021-07-24T13:02:27;visionary e-markets;2021-07-25T06:03:05
5;Pizza card Electronics;morph;충남;connecting technologies solution-oriented;SAS JBOD Account;false;../fake-data/blob/hipster.txt;false;Senior bypassing deposit;Pants input Orchestrator;25365;grid-enabled standardization;Sleek;false;Plastic Fully-configurable transmitter;2021-07-24T12:13:54;human-resource;2021-07-24T18:42:14
6;Account white Dollar;THX website Mouse;Kids 경기;Senior secondary;Creative 제주 distributed;false;../fake-data/blob/hipster.txt;true;navigating;interface deposit invoice;6577;silver Wooden;concept Shirt;true;robust Steel;2021-07-25T06:29:37;reboot Manat 서울;2021-07-24T20:14:03
7;RAM deposit program;Cotton;stable;Ergonomic Market channels;Profit-focused;true;../fake-data/blob/hipster.txt;true;Tasty drive;calculate Dalasi;99675;generate whiteboard;interfaces;true;infrastructures relationships payment;2021-07-24T08:18:10;portals Handcrafted;2021-07-24T20:14:20
8;Music Cedi Outdoors;matrix hacking Peso;Solomon cutting-edge open-source;Loan Home;Beauty;true;../fake-data/blob/hipster.txt;false;deploy copying Producer;Dynamic;46661;programming cyan real-time;Western Data e-services;false;infomediaries Planner 전남;2021-07-24T21:43:12;calculating Specialist compress;2021-07-25T01:41:59
9;Engineer platforms plug-and-play;Avon;yellow;Concrete Assistant;Ukraine;true;../fake-data/blob/hipster.txt;false;tan;Nepalese Networked Plastic;88641;Incredible;wireless to;false;Gloves hacking Designer;2021-07-25T07:31:30;Island ability solutions;2021-07-24T15:37:26
10;Bulgaria invoice Cambridgeshire;Buckinghamshire;Chips Automotive;grey 대구;Generic 면 Cotton;true;../fake-data/blob/hipster.txt;false;Clothing;Frozen;75087;Account;salmon Synergized;false;indexing;2021-07-24T19:12:31;transmit back-end;2021-07-25T05:00:36
