id;name;type;illegal_usage_type;illegal_usage_url;exchange_type;exchange_url;shipping_release_type;separate_shipping_price_type;bundle_shipping_type;default_shipping_price;activated;created_by;created_date;last_modified_by;last_modified_date
1;Direct customized;Manager non-volatile Madagascar;Portugal Chips;Shirt;methodologies 대전 Operations;deposit;울산;application Unbranded 부산;mint markets payment;97083;false;Data Buckinghamshire;2021-07-24T18:44:37;Money invoice quantify;2021-07-24T14:07:27
2;supply-chains Direct Intelligent;International;monetize drive best-of-breed;connecting sensor Home;deposit Bike;deposit;Gibraltar;Panama;Mouse Avon;56238;true;Savings;2021-07-24T14:08:48;동;2021-07-25T03:27:39
3;USB 읍;payment;quantifying;Principal;holistic program microchip;Baby salmon;Bike;광주 cyan;pink plug-and-play Principal;46488;false;Philippines eco-centric;2021-07-25T07:31:49;Multi-channelled structure TCP;2021-07-25T03:05:20
4;framework web-readiness;matrices Electronics JSON;metrics;Metal Investor;Metal 강원;leverage Secured bandwidth;bypass utilisation Islands;Steel Rubber;Strategist real-time aggregate;83680;true;Developer aggregate;2021-07-24T17:48:12;bluetooth Account Savings;2021-07-25T06:28:46
5;Intelligent quantifying Sports;Architect Frozen;Rubber 세종;transmitting;markets Plastic sticky;Unbranded auxiliary;real-time HTTP;payment neural-net;bypassing Soft initiatives;69368;false;cross-platform withdrawal Money;2021-07-24T09:33:57;Reverse-engineered;2021-07-24T17:08:02
6;Tactics bypass;Practical Concrete;portals;Cambridgeshire Philippines HDD;deposit Health;Handmade lavender;Sterling Ergonomic syndicate;architecture supply-chains Licensed;morph;25059;true;firewall Account index;2021-07-24T19:30:15;parse;2021-07-24T09:49:17
7;Response olive service-desk;Lead Home dot-com;Account synergy payment;Synergized Function-based PNG;copying;Internal Executive Ball;azure Denar;Tasty Cambridgeshire;portals back-end Metal;42632;false;discrete XML;2021-07-25T06:03:07;Gourde applications Account;2021-07-24T09:11:01
8;Internal Global;bluetooth back-end withdrawal;읍;Licensed connect Computers;Dollar radical hub;deposit Borders Internal;Licensed Franc;동 Computer;Analyst Plastic turn-key;46868;true;transmitter Shirt Pataca;2021-07-24T21:34:17;encoding Mobility Multi-tiered;2021-07-24T13:26:03
9;Checking multi-byte invoice;connecting connecting;인천;Checking efficient web-readiness;TCP Peso incubate;Home olive;paradigms syndicate;Aruban Account;indexing Gorgeous embrace;73873;false;overriding;2021-07-25T03:36:46;Books Grass-roots;2021-07-24T16:20:08
10;Afghanistan Granite monitor;edge Handcrafted bypassing;Loan;Business-focused real-time;context-sensitive Monitored;Licensed Factors;Research;Fresh cross-platform;communities;53403;true;Rubber;2021-07-25T06:53:14;incremental;2021-07-25T01:17:42
