id;name;value;price;quantity;status;option_code;activated;created_by;created_date;last_modified_by;last_modified_date
1;grey;Hat;channels scalable mindshare;72166;envisioneer;Soft;true;programming 충북 Assistant;2021-07-25T00:33:11;reinvent methodologies Krona;2021-07-24T14:06:23
2;Concrete;Buckinghamshire Wooden Triple-buffered;Dynamic Bedfordshire deliver;6946;needs-based;Cotton Account;false;Dynamic;2021-07-24T15:56:41;읍 tan withdrawal;2021-07-25T04:31:21
3;Handmade;teal Belgium 경북;Internal;52001;Account Chair reintermediate;infrastructures;true;Sleek system wireless;2021-07-24T14:30:09;International parsing;2021-07-25T06:23:21
4;Soap Shirt Music;programming platforms 광주;open-source Tuna;54683;Chair;Implemented;false;Table;2021-07-25T03:22:27;algorithm Frozen black;2021-07-25T06:01:32
5;Yemen Architect;읍 USB;Shoes 울산 content-based;44010;deposit;Mandatory;false;invoice Internal;2021-07-25T04:17:12;읍;2021-07-25T01:45:58
6;Bedfordshire 읍;e-enable green;transmitting;75640;next-generation Steel Birr;Berkshire indexing transmit;false;Refined Internal;2021-07-25T05:16:25;면 Implemented Liaison;2021-07-25T01:38:16
7;input blue orchid;transmit generate;auxiliary Jewelery;20281;Account Music Berkshire;infomediaries enable 충남;true;sensor Buckinghamshire;2021-07-24T20:59:36;Panama;2021-07-24T16:33:47
8;compressing Balanced;Exclusive 대구 Lithuania;충북 feed;43115;transmit Fresh schemas;systems Anguilla Keyboard;true;logistical Planner indigo;2021-07-24T14:22:52;Pants;2021-07-25T01:34:38
9;grey Investment Concrete;invoice;Administrator frame;45525;Health niches web-enabled;인천 program B2C;true;Ameliorated evolve;2021-07-24T22:21:52;red Cheese;2021-07-25T01:07:16
10;Dollar hybrid;policy 서울;Avon;85870;울산;Beauty Fresh Administrator;true;synthesizing;2021-07-24T13:27:11;Industrial Fantastic Plastic;2021-07-24T14:51:22
