id;name;status;type;content_file_url;priority_display;all_product_display;target;enable_display_date;display_date_from;display_date_to;activated;created_by;created_date;last_modified_by;last_modified_date
1;action-items Interactions;core 동;Cambridgeshire SDD Refined;Refined;false;true;panel Savings Dollar;false;2021-07-24T11:57:26;2021-07-24T15:28:48;false;indigo Car;2021-07-24T10:01:53;서울 Representative magnetic;2021-07-24T09:29:10
2;azure withdrawal Mouse;Interactions 세종;bypass payment plum;reintermediate;false;true;Metal invoice Soft;false;2021-07-25T06:43:08;2021-07-24T12:17:43;true;Producer transition Supervisor;2021-07-24T22:59:43;PCI;2021-07-25T02:27:59
3;Rubber Wooden Integrated;Berkshire challenge Identity;Clothing PNG Rustic;동;true;false;Handcrafted Balanced Intelligent;false;2021-07-24T14:33:48;2021-07-24T14:46:45;false;technologies;2021-07-24T07:43:43;면 superstructure payment;2021-07-24T22:30:14
4;Health;읍;lime;Factors Philippines Plastic;false;false;Computer bandwidth;true;2021-07-24T10:00:18;2021-07-24T17:22:34;true;충남 Card;2021-07-25T03:36:04;Integrated PCI;2021-07-24T08:00:21
5;Loan mobile website;Brand 전북;1080p Profit-focused;International;false;true;Ergonomic models Networked;true;2021-07-24T21:59:57;2021-07-24T23:45:29;true;Electronics;2021-07-24T12:01:02;intermediate Director gold;2021-07-24T22:06:56
6;directional Account Supervisor;Movies purple navigating;Cambridgeshire;bypass;true;false;Progressive;true;2021-07-24T13:38:33;2021-07-25T00:11:13;true;moratorium;2021-07-24T09:08:51;경남 GB;2021-07-24T15:51:49
7;Jewelery;withdrawal EXE frame;strategic Generic;content Sum;true;false;Designer services French;false;2021-07-24T17:59:27;2021-07-24T16:21:51;true;Rustic Plastic 대전;2021-07-25T05:16:51;Optimized 인천 Jersey;2021-07-25T01:32:39
8;Home;turquoise;Thailand gold 서울;Secured overriding Cheese;true;false;orchid Account;true;2021-07-25T00:14:03;2021-07-24T22:57:09;true;Quality;2021-07-25T02:32:42;capacitor e-business Pa'anga;2021-07-25T02:09:00
9;utilisation 면 Buckinghamshire;Poland fault-tolerant;Engineer Account;Cotton Checking;false;false;Rubber;true;2021-07-25T02:17:03;2021-07-24T21:57:55;false;payment Digitized grow;2021-07-24T10:32:07;Principal;2021-07-24T17:53:33
10;payment;secondary Loan;incubate SMTP;Mandatory info-mediaries Producer;false;false;disintermediate matrix;false;2021-07-24T14:48:30;2021-07-24T20:29:53;true;Wooden product;2021-07-24T19:07:06;indexing Avon;2021-07-24T17:21:22
