id;name;type;status;code;use_class_option;price;use_discount_instant;use_installment;installment_month;use_sell_date;sell_date_from;sell_date_to;quantity;use_product_option;use_product_input_option;use_product_add_option;min_purchase_amount;max_purchase_amount_per_count;max_purchase_amount_per_one;main_image_file_url;main_video_file_url;use_product_announce;use_product_faq;description_file_url;shipping_release_type;shipping_standard_start_time;etc_shipping_content;separate_shipping_price_type;bundle_shipping_type;default_shipping_price;free_shipping_price;jeju_shipping_price;difficult_shipping_price;refund_shipping_price;exchange_shipping_price;exchange_shipping_file_type;exchange_shipping_file_url;use_view;use_view_reservation;view_reservation_date;use_product_notice;use_product_illegal;use_product_recommend;use_product_mapping;activated;created_by;created_date;last_modified_by;last_modified_date
1;Steel;Assistant;cross-platform Principal;wireless Computer;true;76808;true;true;22076;true;2021-05-29T19:41:17;2021-05-29T10:05:18;62989;false;false;true;64964;8294;93728;Soap withdrawal;Metical Incredible;true;false;transmitting New Bedfordshire;Malagasy intranet;neutral;Bike;Computer CFP orange;동;95487;35518;58781;89275;20505;80377;JSON;Personal Steel;false;false;2021-05-30T00:20:46;true;false;false;true;false;invoice;2021-05-29T07:41:47;De-engineered;2021-05-29T19:37:38
2;읍 black pixel;Account;Cheese Consultant online;project hacking efficient;true;80217;true;false;44109;true;2021-05-30T00:56:15;2021-05-29T08:00:32;19864;true;true;true;77577;35940;21464;읍 Automotive;Checking system-worthy;false;false;Ergonomic relationships back-end;solution Zimbabwe Games;Account transmit Incredible;programming Algeria Rustic;Taka;wireless Practical Solutions;54007;92380;69233;80985;46586;79285;Checking Coordinator;Product;true;true;2021-05-29T20:50:53;false;true;true;false;false;Ball project bypassing;2021-05-29T19:45:03;program;2021-05-29T15:32:03
3;index Account Concrete;Soft;deposit clear-thinking focus;Loan;true;10558;false;false;53349;false;2021-05-29T19:56:56;2021-05-29T07:50:31;27154;false;true;true;17974;77279;40905;Loan portals;Belize;false;true;pixel Dollar;markets;adapter Keyboard Industrial;Buckinghamshire;application e-business Concrete;Agent Technician;20806;19179;31576;95426;63521;28240;Facilitator 서울;circuit Regional JBOD;false;true;2021-05-30T02:37:24;true;true;true;false;true;CSS Serbia 대전;2021-05-30T00:52:47;Account Functionality multi-tasking;2021-05-29T16:43:36
4;Rustic Product 전남;Lebanon Analyst;울산 clicks-and-mortar protocol;connect blue;false;84641;false;false;11252;false;2021-05-29T09:57:16;2021-05-29T22:20:44;83692;true;false;true;75669;2063;67876;teal Vision-oriented;Ergonomic Bedfordshire;true;true;payment Berkshire;Chicken transform;blue Fish neural;Liechtenstein U.S.;frictionless wireless user-facing;Account compress;67011;78517;2488;43448;52198;66928;Shirt 경남 deposit;Cheese;false;false;2021-05-30T03:21:07;false;false;true;false;true;Chicken up;2021-05-30T03:15:33;sticky Cambridgeshire San;2021-05-29T16:52:02
5;copy;orange technologies;Music Shoes 울산;Berkshire Games global;true;69525;true;false;38169;true;2021-05-29T10:28:10;2021-05-29T21:24:10;30183;true;true;true;61734;73863;28033;niches 동 Kiribati;SCSI Rubber;false;true;RAM cutting-edge Soap;Uganda primary Ergonomic;Games copying;Cook International 면;Chief 1080p Yen;port;89748;36596;10380;32938;3311;85025;collaboration;제주 Planner;false;false;2021-05-30T02:16:49;false;true;false;false;true;lime Card;2021-05-29T08:26:41;mesh Uzbekistan;2021-05-29T20:58:21
6;Gambia Rubber;Leone;Designer withdrawal holistic;Qatar transmit;true;42152;true;false;80512;false;2021-05-30T06:24:13;2021-05-30T03:02:11;22469;false;true;false;77659;30711;2644;Auto neural Russian;Handcrafted;true;true;Cotton convergence;schemas 동;Silver 읍;pixel Loan RSS;Brand Central Advanced;migration Program Jewelery;5682;14487;98483;65101;77235;29890;Berkshire IB Card;mesh;false;false;2021-05-29T12:14:10;false;true;true;true;true;Granite;2021-05-30T04:14:35;global;2021-05-30T06:48:42
7;Account indexing;synthesizing;경남 Islands;virtual;false;61960;false;false;38225;true;2021-05-30T02:18:07;2021-05-29T14:34:47;76997;false;false;true;83539;21572;58198;connect Paradigm grow;high-level;true;false;sexy;dot-com policy;Computers hack Borders;동 Diverse British;metrics 면 Chips;Madagascar;52255;92886;35774;97702;94325;55864;enterprise;Rica Cambridgeshire;true;true;2021-05-29T10:18:46;true;false;true;false;false;Tonga withdrawal;2021-05-30T01:21:59;Awesome;2021-05-29T14:41:21
8;innovate;Steel;lavender;initiative Corporate;true;44681;true;false;38426;true;2021-05-29T22:50:44;2021-05-29T22:58:30;83335;false;true;false;7356;50651;70244;경북 invoice capacitor;Function-based;true;false;Intuitive bluetooth 대구;Granite Music scalable;real-time;quantify;Automotive;경북 interactive Card;90966;84061;48168;48171;64479;21151;경북 Berkshire 동;면;true;false;2021-05-29T20:29:58;true;true;true;false;true;RSS program;2021-05-29T16:50:14;Rustic;2021-05-30T01:10:40
9;Applications;multi-tasking;bluetooth;circuit Clothing;false;86295;true;false;97442;false;2021-05-30T02:27:44;2021-05-30T06:20:47;31311;true;false;true;50888;33106;62602;parse;e-business payment;true;true;Rustic Bedfordshire;e-business;navigating structure;Swedish Robust;Direct;경남;59215;55138;74337;40808;32579;6326;monitor 면;Gorgeous Berkshire;true;true;2021-05-30T03:34:06;true;true;true;false;true;Euro best-of-breed;2021-05-29T10:00:46;Identity;2021-05-30T01:30:10
10;부산 Research;multi-byte invoice end-to-end;initiatives;경북;true;6072;true;true;40503;false;2021-05-30T04:35:51;2021-05-29T13:15:25;37347;false;false;false;38214;52857;65806;Assurance magenta;white transmit Toys;true;true;동 productize;Chips National visionary;cohesive;서울;Functionality;(EURCO) Computer;79093;69998;10889;53757;95242;15716;Frozen;copying Implementation loyalty;true;false;2021-05-29T14:07:50;true;true;false;false;false;Concrete Metrics;2021-05-30T02:58:39;parse;2021-05-29T21:48:35
